,ME,no_mwu
954,99997200,100002800
955,100000120,99999880
956,100004200,99995800
957,100003280,99996720
958,100003280,99996720
959,100001560,99998440
960,99995200,100004800
961,99997040,100002960
962,99995440,100004560
963,99996960,100003040
964,99993640,100006360
965,99991920,100008080
966,99990840,100009160
967,99991640,100008360
968,99992400,100007600
969,100000680,99999320
970,99997360,100002640
971,99995400,100004600
972,99999000,100001000
973,99996000,100004000
974,100001920,99998080
975,100001080,99998920
976,99998440,100001560
977,99999720,100000280
978,100001080,99998920
979,100004120,99995880
980,100002080,99997920
981,100008960,99991040
982,100003760,99996240
983,99999280,100000720
984,100007360,99992640
985,100001560,99998440
986,100001560,99998440
987,100001360,99998640
988,99997880,100002120
989,100002000,99998000
990,100003720,99996280
991,100006080,99993920
992,100007000,99993000
993,100010520,99989480
994,100010400,99989600
995,100011200,99988800
996,100012400,99987600
997,100007720,99992280
998,100005680,99994320
999,100010440,99989560
1000,100007640,99992360
